PCCO;STRAATNAAM;HSNR.;TOEVOEG;POSTCD;PLAATS;STATUS
E40010011 ;WARMOESKADE;11;;2771NE;BOSKOOP;C
;;;;;;C
E40010013 ;WARMOESKADE;13;;2771NE;BOSKOOP;C
;;;;;;C
E40010013A;WARMOESKADE;13;A;2771NE;BOSKOOP;C
;;;;;;C
E40010015 ;WARMOESKADE;15;;2771NE;BOSKOOP;C
;;;;;;C
E40010021 ;WARMOESKADE;21;;2771NE;BOSKOOP;C
;;;;;;C
E40010023 ;WARMOESKADE;23;;2771NE;BOSKOOP;C
;;;;;;C
E40010027 ;WARMOESKADE;27;;2771NE;BOSKOOP;C
;;;;;;C
E40010029 ;WARMOESKADE;29;;2771NE;BOSKOOP;C
;;;;;;C
E40010031 ;WARMOESKADE;31;;2771NE;BOSKOOP;C
;;;;;;C
E40010033 ;WARMOESKADE;33;;2771NE;BOSKOOP;C
;;;;;;C
E40010035 ;WARMOESKADE;35;;2771NE;BOSKOOP;C
;;;;;;C
E40010037 ;WARMOESKADE;37;;2771NE;BOSKOOP;C
;;;;;;C
F11010022A;CABAUWSEKADE;22;A;3411EB;LOPIK;C
;;;;;;C
F11010042A;CABAUWSEKADE;42;A;3411EC;LOPIK;C
;;;;;;C
F11010056 ;CABAUWSEKADE;56;;3411ED;LOPIK;C
;;;;;;C
F66020001 ;MEESTER MARCOLAAN;1;;3411EW;LOPIK;C
;;;;;;C
F66020003 ;MEESTER MARCOLAAN;3;;3411EW;LOPIK;C
;;;;;;C
F66020005 ;MEESTER MARCOLAAN;5;;3411EW;LOPIK;C
;;;;;;C
F66020007 ;MEESTER MARCOLAAN;7;;3411EW;LOPIK;C
;;;;;;C
F66020009 ;MEESTER MARCOLAAN;9;;3411EW;LOPIK;C
;;;;;;C
F66020011 ;MEESTER MARCOLAAN;11;;3411EW;LOPIK;C
;;;;;;C
F66020013 ;MEESTER MARCOLAAN;13;;3411EW;LOPIK;C
;;;;;;C
F66020015 ;MEESTER MARCOLAAN;15;;3411EW;LOPIK;C
;;;;;;C
F66020017 ;MEESTER MARCOLAAN;17;;3411EW;LOPIK;C
;;;;;;C
F66020019 ;MEESTER MARCOLAAN;19;;3411EW;LOPIK;C
;;;;;;C
F66020021 ;MEESTER MARCOLAAN;21;;3411EW;LOPIK;C
;;;;;;C
F66020023 ;MEESTER MARCOLAAN;23;;3411EW;LOPIK;C
;;;;;;C
F66020025 ;MEESTER MARCOLAAN;25;;3411EW;LOPIK;C
;;;;;;C
F66020027 ;MEESTER MARCOLAAN;27;;3411EW;LOPIK;C
;;;;;;C
F66020029 ;MEESTER MARCOLAAN;29;;3411EW;LOPIK;C
;;;;;;C
F66020031 ;MEESTER MARCOLAAN;31;;3411EW;LOPIK;C
;;;;;;C
F88010076 ;LOPIKERWEG WEST;76;;3411AR;LOPIK;C
;;;;;;C
F88010088 ;LOPIKERWEG WEST;88;;3411AS;LOPIK;C
;;;;;;C
F88010100A;LOPIKERWEG WEST;100;A;3411AT;LOPIK;C
;;;;;;C
G50010003 ;MERCURIUS;3;;2931LJ;KRIMPEN AD LEK;C
;;;;;;C
G50010005 ;MERCURIUS;5;;2931LJ;KRIMPEN AD LEK;C
;;;;;;C
G50010007 ;MERCURIUS;7;;2931LJ;KRIMPEN AD LEK;C
;;;;;;C
G50010009 ;MERCURIUS;9;;2931LJ;KRIMPEN AD LEK;C
;;;;;;C
G50010011 ;MERCURIUS;11;;2931LJ;KRIMPEN AD LEK;C
;;;;;;C
H13510004 ;KERKWEG;4;;3465JJ;DRIEBRUGGEN;C
;;;;;;C
H13510010 ;KERKWEG;10;;3465JJ;DRIEBRUGGEN;C
;;;;;;C
H13510020 ;KERKWEG;20;;3465JJ;DRIEBRUGGEN;C
;;;;;;C
H13510026 ;KERKWEG;26;;3465JJ;DRIEBRUGGEN;C
;;;;;;C
H13510038 ;KERKWEG;38;;3465JK;DRIEBRUGGEN;C
;;;;;;C
H43510007 ;BURG P.FEITSMALAAN;7;;3465KC;DRIEBRUGGEN;C
;;;;;;C
H45010015 ;BURG DOORMANSTRAAT;15;;3465KD;DRIEBRUGGEN;C
;;;;;;C
H45010036 ;BURG DOORMANSTRAAT;36;;3465KE;DRIEBRUGGEN;C
;;;;;;C
H45010039 ;BURG DOORMANSTRAAT;39;;3465KD;DRIEBRUGGEN;C
;;;;;;C
H48010002 ;W POOLMANSTRAAT;2;;3465JX;DRIEBRUGGEN;C
;;;;;;C
H48010012 ;W POOLMANSTRAAT;12;;3465JX;DRIEBRUGGEN;C
;;;;;;C
H52510006 ;NOORDKADE;6;;3465JC;DRIEBRUGGEN;C
;;;;;;C
H54010001 ;DE GROENDIJCK;1;;3465JB;DRIEBRUGGEN;C
;;;;;;C
H54010003 ;DE GROENDIJCK;3;;3465JB;DRIEBRUGGEN;C
;;;;;;C
H54010005 ;DE GROENDIJCK;5;;3465JB;DRIEBRUGGEN;C
;;;;;;C
H54010007 ;DE GROENDIJCK;7;;3465JB;DRIEBRUGGEN;C
;;;;;;C
J00860001 ;MIDDENMOLENLAAN;1;;2807DL;GOUDA;C
;;;;;;C
J05910008 ;SCARLATTISTRAAT;8;;2807HM;GOUDA;C
;;;;;;C
J06810001 ;SONATEPAD;1;;2807PD;GOUDA;C
;;;;;;C
J07310002 ;WINTERDIJK;2;;2801SJ;GOUDA;C
;;;;;;C
J07310004 ;WINTERDIJK;4;;2801SJ;GOUDA;C
;;;;;;C
J07310006 ;WINTERDIJK;6;;2801SJ;GOUDA;C
;;;;;;C
J07310010 ;WINTERDIJK;10;;2801SJ;GOUDA;C
;;;;;;C
J07310015 ;WINTERDIJK;15;;2801SJ;GOUDA;C
;;;;;;C
J07310023 ;WINTERDIJK;23;;2801SK;GOUDA;C
;;;;;;C
J07310025 ;WINTERDIJK;25;;2801SK;GOUDA;C
;;;;;;C
J07310033 ;WINTERDIJK;33;;2801SK;GOUDA;C
;;;;;;C
J07310055 ;WINTERDIJK;55;;2801SK;GOUDA;C
;;;;;;C
J07460001 ;NIEUWE PARKERF;1;;2801RZ;GOUDA;C
;;;;;;C
J07460002 ;NIEUWE PARKERF;2;;2801RZ;GOUDA;C
;;;;;;C
J07460004 ;NIEUWE PARKERF;4;;2801RZ;GOUDA;C
;;;;;;C
J07460005 ;NIEUWE PARKERF;5;;2801RZ;GOUDA;C
;;;;;;C
J07460007 ;NIEUWE PARKERF;7;;2801RZ;GOUDA;C
;;;;;;C
J07460008 ;NIEUWE PARKERF;8;;2801RZ;GOUDA;C
;;;;;;C
J07460009 ;NIEUWE PARKERF;9;;2801RZ;GOUDA;C
;;;;;;C
J07460010 ;NIEUWE PARKERF;10;;2801RZ;GOUDA;C
;;;;;;C
J07460011 ;NIEUWE PARKERF;11;;2801RZ;GOUDA;C
;;;;;;C
J07460012 ;NIEUWE PARKERF;12;;2801RZ;GOUDA;C
;;;;;;C
J07460013 ;NIEUWE PARKERF;13;;2801RZ;GOUDA;C
;;;;;;C
J07460014 ;NIEUWE PARKERF;14;;2801RZ;GOUDA;C
;;;;;;C
J07460015 ;NIEUWE PARKERF;15;;2801RZ;GOUDA;C
;;;;;;C
J07510001 ;HELENE SERVAESSTRAAT;1;;2801SM;GOUDA;C
;;;;;;C
J07510002 ;HELENE SERVAESSTRAAT;2;;2801SM;GOUDA;C
;;;;;;C
J07510003 ;HELENE SERVAESSTRAAT;3;;2801SM;GOUDA;C
;;;;;;C
J07510006 ;HELENE SERVAESSTRAAT;6;;2801SM;GOUDA;C
;;;;;;C
J07510008 ;HELENE SERVAESSTRAAT;8;;2801SM;GOUDA;C
;;;;;;C
J07610008 ;ROOS V.DEKEMASTRAAT;8;;2801SP;GOUDA;C
;;;;;;C
J07610012 ;ROOS V.DEKEMASTRAAT;12;;2801SP;GOUDA;C
;;;;;;C
J07610016 ;ROOS V.DEKEMASTRAAT;16;;2801SP;GOUDA;C
;;;;;;C
J07610018 ;ROOS V.DEKEMASTRAAT;18;;2801SP;GOUDA;C
;;;;;;C
J07610023 ;ROOS V.DEKEMASTRAAT;23;;2801SP;GOUDA;C
;;;;;;C
J07660008 ;MAJOOR FRANSSTRAAT;8;;2801ST;GOUDA;C
;;;;;;C
J07660012 ;MAJOOR FRANSSTRAAT;12;;2801ST;GOUDA;C
;;;;;;C
J07660028 ;MAJOOR FRANSSTRAAT;28;;2801ST;GOUDA;C
;;;;;;C
J07910001 ;MAX HAVELAARSTRAAT;1;;2801TD;GOUDA;C
;;;;;;C
J07910003 ;MAX HAVELAARSTRAAT;3;;2801TD;GOUDA;C
;;;;;;C
J07910004 ;MAX HAVELAARSTRAAT;4;;2801TD;GOUDA;C
;;;;;;C
J08060025 ;KANAALSTRAAT;25;;2801SG;GOUDA;C
;;;;;;C
J08060027 ;KANAALSTRAAT;27;;2801SG;GOUDA;C
;;;;;;C
J08060031 ;KANAALSTRAAT;31;;2801SH;GOUDA;C
;;;;;;C
J08210030 ;VAN BEVERNINGHLAAN;30;;2801AG;GOUDA;C
;;;;;;C
J08360013 ;VAN STRIJENSTRAAT;13;;2801TE;GOUDA;C
;;;;;;C
J08460077B;KATTENSINGEL;77;B;2801CD;GOUDA;C
;;;;;;C
J08460078A;KATTENSINGEL;78;A;2801CD;GOUDA;C
;;;;;;C
J08460080A;KATTENSINGEL;80;A;2801CE;GOUDA;C
;;;;;;C
J08660004 ;CRABETHSTRAAT;4;;2801AN;GOUDA;C
;;;;;;C
J08660004A;CRABETHSTRAAT;4;A;2801AN;GOUDA;C
;;;;;;C
J08660006A;CRABETHSTRAAT;6;A;2801AN;GOUDA;C
;;;;;;C
J08660015 ;CRABETHSTRAAT;15;;2801AL;GOUDA;C
;;;;;;C
J08660038A;CRABETHSTRAAT;38;A;2801AN;GOUDA;C
;;;;;;C
J08660038C;CRABETHSTRAAT;38;C;2801AN;GOUDA;C
;;;;;;C
J08660038E;CRABETHSTRAAT;38;E;2801AN;GOUDA;C
;;;;;;C
J08660079 ;CRABETHSTRAAT;79;;2801AM;GOUDA;C
;;;;;;C
J08660083 ;CRABETHSTRAAT;83;;2801AM;GOUDA;C
;;;;;;C
J08660097 ;CRABETHSTRAAT;97;;2801AM;GOUDA;C
;;;;;;C
J08660101 ;CRABETHSTRAAT;101;;2801AM;GOUDA;C
;;;;;;C
J08760006 ;STATIONSPLEIN;6;;2801AK;GOUDA;C
;;;;;;C
J08760009K;STATIONSPLEIN;9;K;2801AK;GOUDA;C
;;;;;;C
J09010011C;SPOORSTRAAT;11;C;2801BA;GOUDA;C
;;;;;;C
J09410004 ;ZUIDELIJK HALFROND;4;;2801DD;GOUDA;C
;;;;;;C
J09460016 ;NOORDELIJK HALFROND;16;;2801DE;GOUDA;C
;;;;;;C
J09960003 ;JAN DEN BOERPLEIN;3;;2807BV;GOUDA;C
;;;;;;C
J10160003 ;JAN DOMMERINGLAAN;3;;2807BT;GOUDA;C
;;;;;;C
J11160020 ;TELDERSSTRAAT;20;;2806MV;GOUDA;C
;;;;;;C
J12060010 ;BRIANDSTRAAT;10;;2806HG;GOUDA;C
;;;;;;C
J13210039 ;JOHAN DEN HAENSTRAAT;39;;2806DK;GOUDA;C
;;;;;;C
J13210061 ;JOHAN DEN HAENSTRAAT;61;;2806DK;GOUDA;C
;;;;;;C
J13360116A;IJSSELLAAN;116;A;2806TN;GOUDA;C
;;;;;;C
J13460009 ;BURG MARTENSSTRAAT;9;;2806CJ;GOUDA;C
;;;;;;C
J13510048 ;BURG MARTENSSINGEL;48;;2806CW;GOUDA;C
;;;;;;C
J13510084 ;BURG MARTENSSINGEL;84;;2806CX;GOUDA;C
;;;;;;C
J13560081 ;FLUWELENSINGEL;81;;2806CE;GOUDA;C
;;;;;;C
J13560083 ;FLUWELENSINGEL;83;;2806CE;GOUDA;C
;;;;;;C
J13560088 ;FLUWELENSINGEL;88;;2806CE;GOUDA;C
;;;;;;C
J13560105A;FLUWELENSINGEL;105;A;2806CH;GOUDA;C
;;;;;;C
J13610022A;GOEJANVERWELLEDIJK;22;A;2807CC;GOUDA;C
;;;;;;C
J13610046 ;GOEJANVERWELLEDIJK;46;;2807CC;GOUDA;C
;;;;;;C
J13610048 ;GOEJANVERWELLEDIJK;48;;2807CC;GOUDA;C
;;;;;;C
J13610083A;GOEJANVERWELLEDIJK;83;A;2807CB;GOUDA;C
;;;;;;C
J13810001 ;GOUDERAKSEDIJK;1;;2808NA;GOUDA;C
;;;;;;C
J13860012 ;GOUDSEWEG;12;;2808NJ;GOUDA;C
;;;;;;C
J13860026 ;GOUDSEWEG;26;;2808NJ;GOUDA;C
;;;;;;C
J13860049 ;GOUDSEWEG;49;;2808NM;GOUDA;C
;;;;;;C
J13860055 ;GOUDSEWEG;55;;2808NM;GOUDA;C
;;;;;;C
J13860070 ;GOUDSEWEG;70;;2808NK;GOUDA;C
;;;;;;C
J14160006 ;KARNEMELKSLOOT;6;;2806BG;GOUDA;C
;;;;;;C
J14160008A;KARNEMELKSLOOT;8;A;2806BG;GOUDA;C
;;;;;;C
J14160012A;KARNEMELKSLOOT;12;A;2806BG;GOUDA;C
;;;;;;C
J15760177 ;BOELEKADE;177;;2806AH;GOUDA;C
;;;;;;C
J16160160 ;DREEF;160;;2803HE;GOUDA;C
;;;;;;C
J16210003 ;BLEULANDWEG;3;;2803HG;GOUDA;C
;;;;;;C
J16210005 ;BLEULANDWEG;5;;2803HH;GOUDA;C
;;;;;;C
J16210028 ;BLEULANDWEG;28;;2803HH;GOUDA;C
;;;;;;C
J16210130 ;BLEULANDWEG;130;;2803HH;GOUDA;C
;;;;;;C
J16210156 ;BLEULANDWEG;156;;2803HH;GOUDA;C
;;;;;;C
J16210172 ;BLEULANDWEG;172;;2803HJ;GOUDA;C
;;;;;;C
J16210186 ;BLEULANDWEG;186;;2803HJ;GOUDA;C
;;;;;;C
J16210298 ;BLEULANDWEG;298;;2803HM;GOUDA;C
;;;;;;C
J16210472 ;BLEULANDWEG;472;;2803HS;GOUDA;C
;;;;;;C
J16210492 ;BLEULANDWEG;492;;2803HS;GOUDA;C
;;;;;;C
J16610156 ;RIDDER VAN CATSWEG;156;;2805BB;GOUDA;C
;;;;;;C
J16610162 ;RIDDER VAN CATSWEG;162;;2805BB;GOUDA;C
;;;;;;C
J16610166 ;RIDDER VAN CATSWEG;166;;2805BB;GOUDA;C
;;;;;;C
J16610168 ;RIDDER VAN CATSWEG;168;;2805BB;GOUDA;C
;;;;;;C
